"","t","n"
"1","2016-11-14 09:00:00",67
"2","2016-11-14 10:00:00",161
"3","2016-11-14 11:00:00",203
"4","2016-11-14 12:00:00",199
"5","2016-11-14 13:00:00",228
"6","2016-11-14 14:00:00",380
"7","2016-11-14 15:00:00",402
"8","2016-11-14 16:00:00",492
"9","2016-11-14 17:00:00",405
"10","2016-11-14 18:00:00",406
"11","2016-11-14 19:00:00",524
"12","2016-11-14 20:00:00",436
"13","2016-11-14 21:00:00",614
"14","2016-11-14 22:00:00",822
"15","2016-11-14 23:00:00",558
"16","2016-11-15 00:00:00",618
"17","2016-11-15 01:00:00",514
"18","2016-11-15 02:00:00",442
"19","2016-11-15 03:00:00",445
"20","2016-11-15 04:00:00",450
"21","2016-11-15 05:00:00",344
"22","2016-11-15 06:00:00",334
"23","2016-11-15 07:00:00",253
"24","2016-11-15 08:00:00",265
"25","2016-11-15 09:00:00",303
"26","2016-11-15 10:00:00",272
"27","2016-11-15 11:00:00",268
"28","2016-11-15 12:00:00",342
"29","2016-11-15 13:00:00",516
"30","2016-11-15 14:00:00",502
"31","2016-11-15 15:00:00",1024
"32","2016-11-15 16:00:00",770
"33","2016-11-15 17:00:00",709
"34","2016-11-15 18:00:00",632
"35","2016-11-15 19:00:00",570
"36","2016-11-15 20:00:00",631
"37","2016-11-15 21:00:00",112
